count,hour,minute,second,msec,x1,y1,z1,x2,y2,z2,x3,y3,z3,q1,q2,q3,pos1,pos2,pos3,vel1,vel2,vel3
2167,17,52,52,579,-0.158584,0.303672,1.42461,-0.393529,0.238535,1.46896,-0.594357,0.188585,1.44819,88,-72.2667,-19.2072,88.0005,59.6578,20.9324,0.0569916,23.9159,-0.941391
2168,17,52,52,611,-0.158584,0.303672,1.42461,-0.393529,0.238535,1.46896,-0.594357,0.188585,1.44819,88,-73.4843,-17.9985,88.0005,60.4262,20.8981,0,24.7179,-1.34857
2169,17,52,52,661,-0.162197,0.305105,1.42553,-0.400056,0.249574,1.46625,-0.602592,0.209212,1.4429,88,-74.4851,-16.9853,87.9998,61.704,20.806,0,26.3184,-2.55501
2170,17,52,52,679,-0.162197,0.305105,1.42553,-0.400056,0.249574,1.46625,-0.602592,0.209212,1.4429,88,-75.434,-16.3145,87.9991,62.1874,20.7545,0,26.8739,-3.16132
2171,17,52,52,712,-0.162383,0.305518,1.42305,-0.4011,0.25211,1.46089,-0.604636,0.215888,1.44034,88,-76.293,-15.8698,87.9957,63.0636,20.6248,-0.00617981,27.2111,-4.78111
2172,17,52,52,745,-0.162094,0.305992,1.42335,-0.403284,0.258148,1.45797,-0.607594,0.221575,1.43911,88,-77.0415,-15.3608,87.9977,63.9734,20.4449,0,27.3814,-5.72319
2173,17,52,52,779,-0.162094,0.305992,1.42335,-0.403284,0.258148,1.45797,-0.607594,0.221575,1.43911,88,-77.7583,-14.6783,87.9998,64.8791,20.2492,0,27.231,-5.89691
2174,17,52,52,810,-0.162094,0.305992,1.42335,-0.403284,0.258148,1.45797,-0.607594,0.221575,1.43911,88,-78.3598,-14.0114,87.9984,65.7195,20.037,0,27.4741,-7.57095
2175,17,52,52,843,-0.160734,0.309837,1.42579,-0.403041,0.261174,1.45477,-0.608318,0.229132,1.43346,88,-78.74,-13.4996,87.9998,66.6575,19.7939,0,27.1815,-6.95984
2176,17,52,52,872,-0.160734,0.309837,1.42579,-0.403041,0.261174,1.45477,-0.608318,0.229132,1.43346,88,-78.9036,-13.1276,87.9964,67.4252,19.5639,0,26.4963,-8.01247
2177,17,52,52,911,-0.160734,0.309837,1.42579,-0.403041,0.261174,1.45477,-0.608318,0.229132,1.43346,88,-78.9223,-12.8823,87.9971,68.451,19.2508,0,25.6208,-8.95592
2178,17,52,52,945,-0.160804,0.309786,1.42442,-0.403542,0.261726,1.45028,-0.608521,0.231029,1.42487,88,-78.8855,-12.7855,87.9964,69.3045,18.9555,0,24.1521,-8.42033
2179,17,52,52,978,-0.160804,0.309786,1.42442,-0.403542,0.261726,1.45028,-0.608521,0.231029,1.42487,88,-78.8546,-12.836,87.9964,70.0797,18.661,-0.00411987,22.9175,-8.93257
2180,17,52,53,10,-0.161626,0.310132,1.42376,-0.40481,0.262392,1.44763,-0.609713,0.232486,1.41959,88,-78.8495,-12.9822,87.9991,70.7959,18.3856,0.0652313,21.3231,-9.3425
2181,17,52,53,46,-0.161626,0.310132,1.42376,-0.40481,0.262392,1.44763,-0.609713,0.232486,1.41959,88,-78.8676,-13.1653,87.9991,71.5031,18.0945,0,19.1245,-8.14911
2182,17,52,53,74,-0.161626,0.310132,1.42376,-0.40481,0.262392,1.44763,-0.609713,0.232486,1.41959,88,-78.896,-13.3327,87.9984,72.0346,17.8583,0,18.1789,-8.27614
2183,17,52,53,114,-0.162708,0.306756,1.42059,-0.405904,0.261215,1.4457,-0.609578,0.228347,1.41399,88,-78.9549,-13.5225,87.9991,72.7123,17.5616,0,15.7455,-6.89941
2184,17,52,53,144,-0.162708,0.306756,1.42059,-0.405904,0.261215,1.4457,-0.609578,0.228347,1.41399,88,-79.0785,-13.8184,87.9984,73.182,17.3508,0,14.8247,-6.71539
2185,17,52,53,179,-0.162713,0.306753,1.42058,-0.40591,0.261202,1.44567,-0.609579,0.228329,1.41394,88,-79.2291,-14.1526,87.9984,73.6832,17.1352,0,13.678,-6.00197
2186,17,52,53,211,-0.162713,0.306753,1.42058,-0.40591,0.261202,1.44567,-0.609579,0.228329,1.41394,88,-79.3499,-14.4127,87.9991,74.1021,16.9505,-0.000686646,12.453,-5.17319
2187,17,52,53,245,-0.16341,0.302859,1.41533,-0.404928,0.249337,1.44299,-0.608215,0.214751,1.40944,88,-79.3001,-14.6581,88.0005,74.5237,16.7837,0,11.6874,-3.98117
2188,17,52,53,289,-0.16341,0.302859,1.41533,-0.404928,0.249337,1.44299,-0.608215,0.214751,1.40944,88,-78.942,-15.0024,88.0012,75.0284,16.6086,-0.000686646,10.9836,-3.63853
2189,17,52,53,310,-0.16341,0.302859,1.41533,-0.404928,0.249337,1.44299,-0.608215,0.214751,1.40944,88,-78.4276,-15.3804,88.0012,75.2481,16.5351,0,10.6677,-3.33092
2190,17,52,53,348,-0.163297,0.300977,1.41386,-0.403127,0.240679,1.4431,-0.605278,0.204054,1.4047,88,-77.8797,-15.7966,88.0005,75.6306,16.4246,-0.00617981,8.99643,-2.19521
2191,17,52,53,362,-0.163297,0.300977,1.41386,-0.403127,0.240679,1.4431,-0.605278,0.204054,1.4047,88,-77.2506,-16.369,87.9998,75.7617,16.3937,0,8.46016,-1.97411
2192,17,52,53,412,-0.163297,0.300977,1.41386,-0.403127,0.240679,1.4431,-0.605278,0.204054,1.4047,88,-76.6499,-16.9779,88.0019,76.1085,16.3195,0,5.59891,-0.955811
2193,17,52,53,428,-0.163788,0.299702,1.41584,-0.403981,0.234013,1.44162,-0.6054,0.184817,1.40757,88,-76.1421,-17.2732,88.0032,76.1895,16.3058,0,4.73579,-0.666046
2194,17,52,53,461,-0.163788,0.299702,1.41584,-0.403981,0.234013,1.44162,-0.6054,0.184817,1.40757,88,-75.648,-17.0309,88.0053,76.3117,16.2907,0,2.78778,-0.269852
2195,17,52,53,507,-0.162168,0.299773,1.41609,-0.401213,0.233232,1.4463,-0.600057,0.179265,1.40675,88,-75.1966,-16.6362,88.0019,76.3955,16.2865,-0.00686646,0.979156,-0
2196,17,52,53,529,-0.162168,0.299773,1.41609,-0.401213,0.233232,1.4463,-0.600057,0.179265,1.40675,88,-74.8542,-16.6218,88.0012,76.4113,16.2865,-0.0727844,0.422287,0.0274658
2197,17,52,53,560,-0.162168,0.299773,1.41609,-0.401213,0.233232,1.4463,-0.600057,0.179265,1.40675,88,-74.634,-16.9367,88.0012,76.414,16.2879,0.00411987,-0,0.0624847
2198,17,52,53,594,-0.160474,0.298879,1.40918,-0.385246,0.211154,1.45914,-0.568287,0.129588,1.40803,88,-74.1581,-17.8648,88.0005,76.4113,16.2948,-0.0260925,-0.414047,0.523224
2199,17,52,53,629,-0.160474,0.298879,1.40918,-0.385246,0.211154,1.45914,-0.568287,0.129588,1.40803,88,-72.9742,-19.9202,87.9998,76.3804,16.3195,0,-1.88484,1.10413
